date;value3(Ko);value4(req)
2018/01/04:19:00:00;15.00000000;4980.00000000
2018/01/04:19:00:01;30.00000000;4960.00000000
2018/01/04:19:00:02;45.00000000;4940.00000000
2018/01/04:19:00:03;60.00000000;4920.00000000
2018/01/04:19:00:04;75.00000000;4900.00000000
2018/01/04:19:00:05;90.00000000;4880.00000000
2018/01/04:19:00:06;105.00000000;4860.00000000
2018/01/04:19:00:07;120.00000000;4840.00000000
2018/01/04:19:00:08;135.00000000;4820.00000000
2018/01/04:19:00:09;150.00000000;4800.00000000
2018/01/04:19:00:10;165.00000000;4780.00000000
2018/01/04:19:00:11;180.00000000;4760.00000000
2018/01/04:19:00:12;195.00000000;4740.00000000
2018/01/04:19:00:13;210.00000000;4720.00000000
2018/01/04:19:00:14;225.00000000;4700.00000000
2018/01/04:19:00:15;240.00000000;4680.00000000
2018/01/04:19:00:16;255.00000000;4660.00000000
2018/01/04:19:00:17;270.00000000;4640.00000000
2018/01/04:19:00:18;285.00000000;4620.00000000
2018/01/04:19:00:19;300.00000000;4600.00000000
2018/01/04:19:00:20;315.00000000;4580.00000000
2018/01/04:19:00:21;330.00000000;4560.00000000
2018/01/04:19:00:22;345.00000000;4540.00000000
2018/01/04:19:00:23;360.00000000;4520.00000000
2018/01/04:19:00:24;375.00000000;4500.00000000
2018/01/04:19:00:25;390.00000000;4480.00000000
2018/01/04:19:00:26;405.00000000;4460.00000000
2018/01/04:19:00:27;420.00000000;4440.00000000
2018/01/04:19:00:28;435.00000000;4420.00000000
2018/01/04:19:00:29;450.00000000;4400.00000000
2018/01/04:19:00:30;465.00000000;4380.00000000
2018/01/04:19:00:31;480.00000000;4360.00000000
2018/01/04:19:00:32;495.00000000;4340.00000000
2018/01/04:19:00:33;510.00000000;4320.00000000
2018/01/04:19:00:34;525.00000000;4300.00000000
2018/01/04:19:00:35;540.00000000;4280.00000000
2018/01/04:19:00:36;555.00000000;4260.00000000
2018/01/04:19:00:37;570.00000000;4240.00000000
2018/01/04:19:00:38;585.00000000;4220.00000000
2018/01/04:19:00:39;600.00000000;4200.00000000
2018/01/04:19:00:40;615.00000000;4180.00000000
2018/01/04:19:00:41;630.00000000;4160.00000000
2018/01/04:19:00:42;645.00000000;4140.00000000
2018/01/04:19:00:43;660.00000000;4120.00000000
