date;Pivots;Valeur1(req);Valeur2(Mo)
2014/12/05:16:00:00.000;Pivot1;818.955444336;674.358825684
2014/12/05:16:00:00.500;Pivot2;396.359527588;955.022033691
2014/12/05:16:00:01.000;Pivot2;2690.860595703;649.030944824
2014/12/05:16:00:01.500;Pivot3;609.526611328;92.289550781
2014/12/05:16:00:02.000;Pivots4;2904.239501953;969.194702148
2014/12/05:16:00:02.500;Pivot3;199.200836182;876.50201416
2014/12/05:16:00:03.000;Pivot2;1225.42968750;526.788635254
2014/12/05:16:00:03.500;Pivot3;546.768249512;73.960472107
2014/12/05:16:00:04.000;Pivot2;1383.017700195;125.178161621
2014/12/05:16:00:04.500;Pivot1;443.691864014;915.606933594
2014/12/05:16:00:05.000;Pivot1;2173.045410156;498.977661133
2014/12/05:16:00:05.500;Pivot2;1182.276977539;529.56262207
2014/12/05:16:00:06.000;Pivot3;1651.51953125;451.475006104
2014/12/05:16:00:06.500;Pivot3;2584.514160156;173.034973145
2014/12/05:16:00:07.000;Pivot1;397.248748779;222.771835327
2014/12/05:16:00:07.500;Pivot2;2411.807373047;274.455291748
2014/12/05:16:00:08.000;Pivot2;277.527893066;693.992980957
2014/12/05:16:00:08.500;Pivot2;2002.687866211;128.770462036
2014/12/05:16:00:09.000;Pivot3;263.677490234;464.319213867
2014/12/05:16:00:09.500;Pivots4;1972.518554688;827.988525391
2014/12/05:16:00:10.000;Pivots4;617.144836426;150.497497559
2014/12/05:16:00:10.500;Pivots4;1019.039916992;359.017669678
2014/12/05:16:00:11.000;Pivot1;217.482421875;477.241912842
2014/12/05:16:00:11.500;Pivot2;1086.668334961;640.995910645
2014/12/05:16:00:12.000;Pivot3;397.127960205;245.461547852
2014/12/05:16:00:12.500;Pivots4;2987.936767578;347.400848389
2014/12/05:16:00:13.000;Pivot2;624.092468262;334.455871582
2014/12/05:16:00:13.500;Pivot1;2485.510498047;407.765014648
2014/12/05:16:00:14.000;Pivot2;1670.38684082;559.57208252
2014/12/05:16:00:14.500;Pivot3;2736.903320312;341.59197998
2014/12/05:16:00:15.000;Pivots4;1782.722167969;495.806762695
2014/12/05:16:00:15.500;Pivot3;266.368133545;750.632019043
2014/12/05:16:00:16.000;Pivot1;1842.561889648;537.479492188
2014/12/05:16:00:16.500;Pivot1;1285.424926758;55.892021179
